problem_name,ptype,xtype,dim,mb,ml,mu,mcon,mlcon,mnlcon,m_ub,m_eq,m_linear_ub,m_linear_eq,m_nonlinear_ub,m_nonlinear_eq,f0,isfeasibility,isgrad,ishess,isjcub,isjceq,ishcub,ishceq,argins,dims,mbs,mls,mus,mcons,mlcons,mnlcons,m_ubs,m_eqs,m_linear_ubs,m_linear_eqs,m_nonlinear_ubs,m_nonlinear_eqs,f0s
10FOLDTR,n,r,1000,0,0,0,1000,998,2,0,1000,0,998,0,2,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
3PK,b,r,30,30,30,0,0,0,0,0,0,0,0,0,0,20236.538530137732,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0ENDNDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0ENINDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0ENSNDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0ESDNDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0ESINDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0ESSNDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NNDNDL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NNDNIL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NNDNSL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NNSNSL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NSDSDL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NSDSDS,l,r,2504,1000,1000,0,2004,2004,0,0,2004,0,2004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NSDSIL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NSDSSL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NSSSSL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A2ENDNDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A2ENINDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A2ENSNDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A2ESDNDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A2ESINDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A2ESSNDL,l,r,20002,10000,10000,0,15002,15002,0,0,15002,0,15002,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A2NNDNDL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A2NNDNIL,l,r,25004,10000,10000,0,20004,20004,0,0,20004,0,20004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
