name,ptype,xtype,dim,mb,ml,mu,mcon,mlcon,mnlcon,m_ub,m_eq,m_linear_ub,m_linear_eq,m_nonlinear_ub,m_nonlinear_eq,f0,isfeasibility,isgrad,ishess,isjcub,isjceq,ishcub,ishceq,argins,dims,mbs,mls,mus,mcons,mlcons,mnlcons,m_ubs,m_eqs,m_linear_ubs,m_linear_eqs,m_nonlinear_ubs,m_nonlinear_eqs,f0s
ACOPP14,n,r,38,76,38,38,68,0,68,40,28,0,0,40,28,8172.002166,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPP30,n,r,72,144,72,72,142,0,142,82,60,0,0,82,60,586.1744992,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR14,n,r,38,76,38,38,82,0,82,54,28,0,0,54,28,8172.002166,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR30,n,r,72,144,72,72,172,0,172,112,60,0,0,112,60,586.1744992,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
AGG,l,r,163,163,163,0,488,488,0,452,36,452,36,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
AIRCRFTA,n,r,8,6,3,3,5,0,5,0,5,0,0,0,5,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
AIRCRFTB,b,r,8,6,3,3,0,0,0,0,0,0,0,0,0,23.02792472,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
AIRPORT,n,r,84,168,84,84,42,0,42,42,0,0,0,42,0,0,0,1,1,1,0,1,0,,,,,,,,,,,,,,,
ALJAZZAF,n,r,10,10,10,0,1,0,1,0,1,0,0,0,1,425.05,0,1,1,0,1,0,1,3  100,3  100,3  100,3  100,0  0,1  1,0  0,1  1,0  0,1  1,0  0,0  0,0  0,1  1,75.015         4925.5
ALLINIT,b,r,4,5,3,2,0,0,0,0,0,0,0,0,0,13,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
ALLINITA,n,r,4,5,3,2,4,2,2,2,2,1,1,1,1,13,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ALLINITC,n,r,4,5,3,2,1,0,1,0,1,0,0,0,1,13,0,1,1,0,1,0,1,,,,,,,,,,,,,,,
