problem_name,ptype,xtype,dim,mb,ml,mu,mcon,mlcon,mnlcon,m_ub,m_eq,m_linear_ub,m_linear_eq,m_nonlinear_ub,m_nonlinear_eq,f0,isfeasibility,isgrad,ishess,isjcub,isjceq,ishcub,ishceq,argins,dims,mbs,mls,mus,mcons,mlcons,mnlcons,m_ubs,m_eqs,m_linear_ubs,m_linear_eqs,m_nonlinear_ubs,m_nonlinear_eqs,f0s
ACOPP14,n,r,38,48,24,24,68,0,68,40,28,0,0,40,28,8172.002165968,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPP30,n,r,72,84,42,42,142,0,142,82,60,0,0,82,60,586.174499154,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR14,n,r,38,20,10,10,68,0,68,40,28,0,0,40,28,8172.002165968,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR30,n,r,72,24,12,12,142,0,142,82,60,0,0,82,60,586.174499154,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
AGG,l,r,163,163,163,0,488,488,0,452,36,452,36,0,0,0.0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
AIRCRFTA,n,r,8,6,3,3,5,0,5,0,5,0,0,0,5,0.0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
AIRCRFTB,b,r,8,6,3,3,0,0,0,0,0,0,0,0,0,23.0279247241,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
AIRPORT,n,r,84,168,84,84,42,0,42,42,0,0,0,42,0,0.0,0,1,1,1,0,1,0,,,,,,,,,,,,,,,
ALJAZZAF,n,r,10,10,10,0,1,0,1,0,1,0,0,0,1,425.05000000000007,0,1,1,0,1,0,1,3 100,3 100,3 100,3 100,0 0,1 1,0 0,1 1,0 0,1 1,0 0,0 0,0 0,1 1,75.015 4925.499999999999
ALLINITA,n,r,4,5,3,2,4,2,2,2,2,1,1,1,1,13.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ALLINITC,n,r,4,5,3,2,1,0,1,0,1,0,0,0,1,13.0,0,1,1,0,1,0,1,,,,,,,,,,,,,,,
ALLINIT,b,r,4,5,3,2,0,0,0,0,0,0,0,0,0,13.0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
ALLINITU,u,r,4,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
ALSOTAME,l,r,2,4,2,2,1,1,0,0,1,0,1,0,0,1.0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
ANTWERP,l,r,27,51,27,24,10,10,0,2,8,2,8,0,0,586934394.1865366,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
ARGAUSS,n,r,3,0,0,0,15,0,15,0,15,0,0,0,15,0.0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
ARGLALE,l,r,4,0,0,0,6,6,0,0,6,0,6,0,0,0.0,1,1,1,0,0,0,0,4 10 50 100 200,4 10 50 100 200,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,6 10 50 100 200,6 10 50 100 200,0 0 0 0 0,0 0 0 0 0,6 10 50 100 200,0 0 0 0 0,6 10 50 100 200,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0
ARGLBLE,l,r,4,0,0,0,6,6,0,0,6,0,6,0,0,0.0,1,1,1,0,0,0,0,10 50 100 200,10 50 100 200,0 0 0 0,0 0 0 0,0 0 0 0,6 6 6 6,6 6 6 6,0 0 0 0,0 0 0 0,6 6 6 6,0 0 0 0,6 6 6 6,0 0 0 0,0 0 0 0,0 0 0 0
ARGLINA,u,r,200,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0,1,1,0,0,0,0,10 50 100,10 50 100,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,430.0000000000026 550.0 700.0
ARGLINB,u,r,10,0,0,0,0,0,0,0,0,0,0,0,0,64766713400.0,0,1,1,0,0,0,0,10 50 100 200,10 50 100 200,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,64766713400.0 34809953865400.0 546094423480400.0 8651224509960400.0
ARGTRIGLS,u,r,10,0,0,0,0,0,0,0,0,0,0,0,0,2.9665404653292424,0,1,1,0,0,0,0,10 50 100 200,10 50 100 200,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,2.9665404653292424 16.326212337569746 32.99641404238618 66.331534046883
ARGTRIG,n,r,10,0,0,0,10,0,10,0,10,0,0,0,10,0.0,1,1,1,0,1,0,1,10 50 100 200,10 50 100 200,0 0 0 0,0 0 0 0,0 0 0 0,10 50 100 200,0 0 0 0,10 50 100 200,0 0 0 0,10 50 100 200,0 0 0 0,0 0 0 0,0 0 0 0,10 50 100 200,0 0 0 0
